customer_id,first_name,last_name,email,region,signup_date
1,Jordan,Brown,jordan.brown1@example.com,West,2024-08-16
2,Kai,Smith,kai.smith2@example.com,North,2022-08-23
3,Jamie,Martinez,jamie.martinez3@example.com,East,2023-11-28
4,Jordan,Smith,jordan.smith4@example.com,West,2022-11-20
5,Morgan,Lee,morgan.lee5@example.com,East,2024-10-22
6,Taylor,Martinez,taylor.martinez6@example.com,North,2023-09-04
7,Jamie,Martinez,jamie.martinez7@example.com,South,2022-11-10
8,Riley,Garcia,riley.garcia8@example.com,North,2023-10-26
9,Morgan,Lee,morgan.lee9@example.com,North,2024-01-14
10,Casey,Nguyen,casey.nguyen10@example.com,North,2023-05-09
11,Drew,Patel,drew.patel11@example.com,North,2024-09-22
12,Jordan,Martinez,jordan.martinez12@example.com,South,2022-09-20
13,Jamie,Davis,jamie.davis13@example.com,South,2023-06-27
14,Kai,Lopez,kai.lopez14@example.com,West,2023-03-10
15,Kai,Chen,kai.chen15@example.com,South,2023-10-01
16,Avery,Kim,avery.kim16@example.com,East,2024-06-16
17,Kai,Davis,kai.davis17@example.com,North,2023-05-23
18,Sam,Patel,sam.patel18@example.com,East,2022-02-13
19,Drew,Martinez,drew.martinez19@example.com,South,2023-03-28
20,Alex,Patel,alex.patel20@example.com,North,2023-04-14
21,Jordan,Lee,jordan.lee21@example.com,East,2022-05-26
22,Kai,Nguyen,kai.nguyen22@example.com,East,2024-09-21
23,Sam,Martinez,sam.martinez23@example.com,South,2024-08-26
24,Sam,Davis,sam.davis24@example.com,West,2023-01-25
25,Jordan,Patel,jordan.patel25@example.com,West,2023-12-27
26,Avery,Brown,avery.brown26@example.com,West,2022-04-21
27,Jamie,Kim,jamie.kim27@example.com,North,2022-05-05
28,Avery,Chen,avery.chen28@example.com,East,2022-08-12
29,Sam,Nguyen,sam.nguyen29@example.com,South,2024-07-07
30,Taylor,Brown,taylor.brown30@example.com,South,2023-07-25
31,Morgan,Nguyen,morgan.nguyen31@example.com,North,2024-06-26
32,Kai,Patel,kai.patel32@example.com,North,2022-01-31
